calls,metric,mean,ci95_low,ci95_high,median
13,joint_h8,0.021668171005440606,0.018529762695810713,0.025940421570711313,0.019533295821624677
13,joint_h24,0.03516784456817678,0.029308176981072458,0.042399203142253906,0.029752194370491345
13,gripper_h8,0.10523709433411048,0.07819048630342529,0.12969905253355266,0.08062410354614258
13,gripper_h24,0.12232534434172389,0.09810263578385477,0.14574062928156298,0.10386675844589868
14,joint_h8,0.021685492002882386,0.018630995863851453,0.02583620673814417,0.019558053187158767
14,joint_h24,0.03511718566999136,0.02935246990575424,0.042392520507340575,0.029453878206184766
14,gripper_h8,0.09810728943765364,0.07174521801796453,0.12251349954297311,0.06740999221801758
14,gripper_h24,0.11718720150903598,0.09348753859509118,0.14083470385147745,0.08394620443383852
15,joint_h8,0.021656310465669376,0.01846284727083852,0.02586177754715359,0.019454048212053703
15,joint_h24,0.03506798477334321,0.029207743692085765,0.04271841851700241,0.029423585628079254
15,gripper_h8,0.0928689072031938,0.06542369358183003,0.11813771145163972,0.06780282780528069
15,gripper_h24,0.1133005219372636,0.08829173342635926,0.13584624371519782,0.08695794362574816
16,joint_h8,0.02174051257434551,0.018596568659165216,0.026029960779086106,0.019572098188851538
16,joint_h24,0.035063131001734284,0.029446354818138367,0.04279231147454832,0.029230342254605916
16,gripper_h8,0.09226342069242882,0.06362168506566376,0.11856641303581586,0.0632504727691412
16,gripper_h24,0.11202595019800816,0.08687825439670374,0.13511980787863564,0.08605289676537117
