calls,feature,spearman,p_value
2,k2_trans_delta_joint_abs_step_d1,0.05568460738677371,0.6148930073150578
2,k2_flow_cosine,0.05325503695454086,0.6304321785077989
2,k2_flow_relative_l2,-0.05311329351017516,0.6313438098454114
2,k2_gripper_mean,-0.050167562699368874,0.6504123853229999
2,k2_prefix_joint_delta_max,0.04748549618965367,0.6679721913501139
2,k2_flow_delta_l2,-0.045702136276197236,0.6797483398600379
2,k2_gripper_high_fraction,-0.04104482668140914,0.7108597454969954
2,k2_joint_jerk_mean,-0.03833147716918092,0.729209683852757
2,k2_joint_accel_mean,-0.03693429178900476,0.7387191147174579
2,k2_joint_abs_step_d2,-0.036671053963754176,0.7405151970122027
2,k2_trans_delta_joint_abs_step_d0,-0.0336216602502807,0.7614202963099403
2,k2_prefix_joint_delta_mean,-0.024035638351726233,0.8281921371986554
2,k2_gripper_start,-0.022980977489312902,0.8356228630208025
2,k2_joint_step_max,0.021808241368836693,0.8439024159152476
2,k2_trans_delta_joint_accel_max,0.021596542923129645,0.8453988466885503
2,k2_trans_delta_joint_roughness,-0.016587767240488306,0.8809526355305968
2,k2_flow_norm,-0.015753771388073302,0.8868975094702255
2,k2_trans_delta_joint_abs_step_d3,0.014742428831094133,0.8941149014544931
2,k2_trans_delta_joint_step_max,0.014620758166738471,0.8949837897234726
2,k2_trans_delta_joint_abs_step_d2,-0.014255746173671492,0.8975911926185207
2,k2_trans_has_previous,-0.014030890739805454,0.8991979525109355
2,k2_gripper_end,-0.0012758977019032632,0.9908097065115617
4,k4_trans_delta_gripper_start,0.21934605692082135,0.04499491956973403
4,k4_trans_delta_gripper_range,-0.21558349854528447,0.0488986513436694
4,k4_trans_delta_gripper_endpoint,-0.20702770510767243,0.05882011651411546
4,k4_joint_abs_step_d4,-0.1718133036347069,0.11811250497788171
4,k4_joint_abs_step_d5,-0.16786473625594814,0.12693375005871338
4,k4_trans_delta_gripper_high_fraction,0.15761922711963985,0.15216497095681755
4,k4_trans_delta_gripper_tv,-0.14639306062494986,0.18391997131224774
4,k4_trans_delta_joint_abs_step_d4,-0.14505171035600598,0.18801450065368125
4,k4_trans_delta_joint_abs_step_d5,-0.1377311920506071,0.211527309222533
4,k4_trans_endpoint_direction_change,-0.13742701538971794,0.21254750607001283
4,k4_trans_delta_joint_endpoint,-0.13533833565161243,0.21964713882100262
4,k4_trans_delta_gripper_mean,0.13260074570361008,0.2292031862465872
4,k4_trans_delta_gripper_step_max,-0.13022300711899662,0.23773565971832888
4,k4_prefix_joint_delta_mean,-0.12815632277007188,0.24532873859417628
4,k4_flow_delta_l2,-0.12086665991697884,0.27343623323762833
4,k4_trans_delta_joint_path,-0.11643882578836656,0.291525107261938
4,k4_trans_delta_joint_step_mean,-0.11643882578836656,0.291525107261938
4,k4_flow_relative_l2,-0.11535891465019744,0.29605389969144863
4,k4_trans_delta_joint_roughness,0.113904020280957,0.30222794500883915
4,k4_gripper_endpoint,-0.11066651083772922,0.3162663716707468
4,k4_flow_cosine,0.10948668624076138,0.3214850832084983
4,k4_flow_norm,-0.10918295028854916,0.3228374793269563
4,k4_trans_delta_joint_direction_change,0.10881413082207855,0.3244845505356819
4,k4_trans_delta_joint_abs_step_d2,0.1056506935488314,0.3388318124825447
4,k4_gripper_high_fraction,-0.1037126751773371,0.34781571422669233
4,k4_prefix_joint_delta_max,-0.10323390648970192,0.3500577935147374
4,k4_gripper_mean,-0.10059785662706923,0.36256306391317217
4,k4_prefix_gripper_delta_max,-0.10015113119970011,0.36470918672108266
4,k4_joint_accel_max,-0.09602105902602005,0.3849176616685308
4,k4_trans_delta_joint_jerk_max,0.0945381062043478,0.3923346006222066
4,k4_prefix_gripper_delta_mean,-0.09107246819937255,0.4099962970397619
4,k4_trans_delta_joint_abs_step_d6,-0.08717703101083035,0.4303916867587856
4,k4_trans_delta_joint_accel_mean,0.08683229746182267,0.43222402265851934
4,k4_gripper_range,-0.08629494752500823,0.43508898261086926
4,k4_joint_step_max,-0.08318315277918396,0.45189001884438984
4,k4_gripper_tv,-0.08188022871103005,0.459030188794156
4,k4_trans_delta_joint_abs_step_d3,-0.07496940768714581,0.4979205870528679
4,k4_gripper_step_max,-0.07329180938645795,0.5076141039687616
4,k4_trans_delta_gripper_end,0.07129511785147247,0.5192768686383953
4,k4_joint_abs_step_d2,-0.07014275589753974,0.5260691164996644
4,k4_trans_delta_joint_abs_step_d1,-0.06987951822826738,0.5276269202851931
4,k4_trans_delta_joint_abs_step_d0,-0.0664727396263089,0.5479937830888331
4,k4_gripper_start,-0.06560176571333225,0.5532612860533879
4,k4_joint_accel_mean,-0.05947149944315076,0.5910092145473724
4,k4_trans_gripper_boundary,-0.05272266723695268,0.6338589927700811
4,k4_joint_abs_step_d6,-0.0512908777969019,0.6431134420014414
4,k4_joint_path,-0.05082514933684318,0.6461355466227264
4,k4_joint_step_mean,-0.05082514933684318,0.6461355466227264
4,k4_joint_jerk_max,0.04908372987749317,0.657486132679675
4,k4_trans_delta_joint_accel_max,0.048242418417019185,0.6629979157141441
4,k4_trans_delta_joint_jerk_mean,0.0475326728749445,0.6676617382618422
4,k4_joint_endpoint,-0.04294826364280652,0.6980838576136144
4,k4_joint_roughness,0.04015389288245419,0.7168674659506902
4,k4_joint_jerk_mean,-0.03602308393236813,0.7449422236173302
4,k4_trans_has_previous,0.030867959627571995,0.7804467680604216
4,k4_joint_abs_step_d0,-0.030495089602105906,0.7830333099007405
4,k4_joint_abs_step_d3,0.024622861192669838,0.8240612836378127
4,k4_gripper_end,-0.017588300257230547,0.8738293616284054
4,k4_joint_abs_step_d1,0.01663477406963937,0.8806177550963228
4,k4_trans_delta_joint_step_max,-0.014499087502382813,0.8958528016821168
4,k4_trans_joint_boundary,-0.006387709878672147,0.9540133354830795
4,k4_joint_direction_change,0.00287536701427559,0.9792905595351413
8,k8_trans_delta_gripper_start,0.26914666776950563,0.013298469514365094
8,k8_joint_accel_mean,-0.2135466234686646,0.0511257771692388
8,k8_trans_delta_gripper_endpoint,-0.2099613208372169,0.05524817917107134
8,k8_trans_delta_gripper_range,-0.20934474807681788,0.055983798532811956
8,k8_trans_delta_joint_accel_mean,-0.20915187202737945,0.056215551932326545
8,k8_joint_jerk_mean,-0.18538017616685232,0.09136393419668362
8,k8_trans_delta_gripper_high_fraction,0.17756392896677042,0.10611934326961026
8,k8_trans_delta_gripper_tv,-0.17349966714722614,0.11449218345690904
8,k8_trans_delta_joint_direction_change,0.16703354371626186,0.1288531947778126
8,k8_trans_delta_gripper_step_max,-0.16598949294494483,0.13129545488550923
8,k8_trans_delta_joint_abs_step_d4,-0.16569516640834958,0.1319902731426851
8,k8_trans_delta_joint_jerk_mean,-0.16362676511430338,0.13695227660931245
8,k8_trans_delta_joint_path,-0.14926962672033547,0.17535843210881352
8,k8_trans_delta_joint_step_mean,-0.14926962672033547,0.17535843210881352
8,k8_joint_abs_step_d5,-0.14852688063177077,0.17754058909186923
