feature,stage,count,median,q25,q75,fine_spearman,fine_spearman_p
joint_abs_step_d0,pre_close,43,0.0027728271252351155,0.0017797973646418554,0.003594207802321501,0.015662126250317192,0.766797457522761
joint_abs_step_d0,closing,54,0.001905165649777953,0.0013813292468858058,0.002851396881844131,0.015662126250317192,0.766797457522761
joint_abs_step_d0,hold,139,0.00338671915883861,0.0020698892003919262,0.00661290926063802,0.015662126250317192,0.766797457522761
joint_abs_step_d0,release,38,0.0023988371771255677,0.0014027751608917,0.0033495927497195674,0.015662126250317192,0.766797457522761
joint_abs_step_d1,free_open,87,0.006734188192487156,0.003833345170809862,0.009913309015839616,-0.21945622138837304,2.592435824106634e-05
joint_abs_step_d1,pre_close,43,0.004868470666312685,0.0028269430091261635,0.0073787522793903725,-0.21945622138837304,2.592435824106634e-05
joint_abs_step_d1,closing,54,0.00386161615354342,0.00220152717135937,0.005471049700798532,-0.21945622138837304,2.592435824106634e-05
joint_abs_step_d1,hold,139,0.00408381572505175,0.002203261823930378,0.006500771380469599,-0.21945622138837304,2.592435824106634e-05
joint_abs_step_d1,release,38,0.0064155092529901685,0.0024207673956808517,0.00831699848492827,-0.21945622138837304,2.592435824106634e-05
joint_abs_step_d2,free_open,87,0.003068188006655428,0.00192372480095333,0.005870769538083289,-0.059292335090486516,0.26116742341798027
joint_abs_step_d2,pre_close,43,0.0027839811625211784,0.0018480441593112296,0.00454810260055501,-0.059292335090486516,0.26116742341798027
joint_abs_step_d2,closing,54,0.002348024916679323,0.001512006223664271,0.003484432886682943,-0.059292335090486516,0.26116742341798027
joint_abs_step_d2,hold,139,0.0038856246827885603,0.001991705482967247,0.006284802407318728,-0.059292335090486516,0.26116742341798027
joint_abs_step_d2,release,38,0.002675638268679239,0.001465422783042562,0.003795823096613997,-0.059292335090486516,0.26116742341798027
joint_abs_step_d3,free_open,87,0.004862880719388775,0.002759598383231689,0.008156909521024047,-0.1656953515212128,0.0015822557610634044
joint_abs_step_d3,pre_close,43,0.003430335380717566,0.001480282069128723,0.0061136357542532545,-0.1656953515212128,0.0015822557610634044
joint_abs_step_d3,closing,54,0.002310134985768265,0.0014070684869391785,0.0049103571786824505,-0.1656953515212128,0.0015822557610634044
joint_abs_step_d3,hold,139,0.003363018332786155,0.001819209749260304,0.006101506903803372,-0.1656953515212128,0.0015822557610634044
joint_abs_step_d3,release,38,0.0035118580930358313,0.0017238771346746815,0.0070317481756092485,-0.1656953515212128,0.0015822557610634044
joint_abs_step_d4,free_open,87,0.002632548459700608,0.0013750498450257516,0.004265977339677771,-0.11864682147561716,0.02416849635144837
joint_abs_step_d4,pre_close,43,0.0018232113543440135,0.000997638226089621,0.0028748295562590837,-0.11864682147561716,0.02416849635144837
joint_abs_step_d4,closing,54,0.0012556259114774914,0.0006701625964223883,0.0019254996829172013,-0.11864682147561716,0.02416849635144837
joint_abs_step_d4,hold,139,0.0025287273696034777,0.0014241383825059567,0.004254170481713259,-0.11864682147561716,0.02416849635144837
joint_abs_step_d4,release,38,0.0022270892111123097,0.001301764728062307,0.0038354343223024794,-0.11864682147561716,0.02416849635144837
joint_abs_step_d5,free_open,87,0.004660191403747349,0.00305668008102247,0.008791512012275689,-0.14120774143143117,0.007207123299005676
joint_abs_step_d5,pre_close,43,0.003477646575579141,0.002127760214017958,0.004858803123534282,-0.14120774143143117,0.007207123299005676
joint_abs_step_d5,closing,54,0.0025344189203449726,0.0018813526080655614,0.00491121553556665,-0.14120774143143117,0.007207123299005676
joint_abs_step_d5,hold,139,0.004225181721465058,0.0023593146965555666,0.006858963509129158,-0.14120774143143117,0.007207123299005676
joint_abs_step_d5,release,38,0.0048907724576014765,0.0029136065011731564,0.008709484242611292,-0.14120774143143117,0.007207123299005676
joint_abs_step_d6,free_open,87,0.002743994946435525,0.0015378775613725682,0.005512173064277387,-0.16513598986941577,0.0016419818235983116
joint_abs_step_d6,pre_close,43,0.001564329766872986,0.0008406100827535601,0.003909024625962352,-0.16513598986941577,0.0016419818235983116
joint_abs_step_d6,closing,54,0.001521357846740744,0.000908272833102838,0.0020672549456769453,-0.16513598986941577,0.0016419818235983116
joint_abs_step_d6,hold,139,0.002140358346189472,0.0011326828281736268,0.0047727020942825455,-0.16513598986941577,0.0016419818235983116
joint_abs_step_d6,release,38,0.0018377074746147226,0.0011873169373548887,0.00403588673822817,-0.16513598986941577,0.0016419818235983116
gripper_start,free_open,87,0.0,0.0,0.0,0.5672231590435785,4.0106269855015585e-32
gripper_start,pre_close,43,0.0,0.0,0.0,0.5672231590435785,4.0106269855015585e-32
gripper_start,closing,54,0.0,0.0,0.41662491366305415,0.5672231590435785,4.0106269855015585e-32
gripper_start,hold,139,1.0,0.9933746950003426,1.0,0.5672231590435785,4.0106269855015585e-32
