episode,source,feature_group,event,event_frame,best_frame_within_5,best_score_within_5,score_percentile
1925,wam,joint_gripper,grasp_lift_onset,112,111,1.9439847246974917,0.8273809523809523
1925,wam,joint_gripper,transport_onset,130,132,1.2125575207763515,0.49404761904761907
1925,wam,joint_gripper,placement_contact,180,179,1.9802683897753508,0.8452380952380952
1925,wam,joint_gripper,release_onset,184,179,1.9802683897753508,0.8452380952380952
1925,wam,joint_gripper,retreat_onset,190,185,0.9190080652232046,0.2857142857142857
16001,gt,joint_position,approach_onset,40,43,0.6023133346550376,0.9107142857142857
16001,gt,joint_position,contact_onset,66,61,0.38597658797277445,0.7023809523809523
16001,gt,joint_position,object_motion_onset,78,73,0.12842376596764216,0.26785714285714285
16001,gt,joint_position,placement_contact,154,152,0.3198445071393736,0.625
16001,gt,joint_position,release_onset,184,184,0.6406196357561567,0.9345238095238095
16001,gt,joint_d1,approach_onset,40,35,1.581523801910833,0.8511904761904762
16001,gt,joint_d1,contact_onset,66,64,1.1453307645984632,0.6904761904761905
16001,gt,joint_d1,object_motion_onset,78,73,0.3296038267807744,0.15476190476190477
16001,gt,joint_d1,placement_contact,154,157,0.619065589068351,0.40476190476190477
16001,gt,joint_d1,release_onset,184,182,2.064847135828593,0.9226190476190477
16001,gt,joint_scalar,approach_onset,40,35,2.7914485221664243,0.9642857142857143
16001,gt,joint_scalar,contact_onset,66,66,1.61667799721657,0.6785714285714286
16001,gt,joint_scalar,object_motion_onset,78,80,1.1565852020026042,0.5595238095238095
16001,gt,joint_scalar,placement_contact,154,149,0.41864418517769475,0.18452380952380953
16001,gt,joint_scalar,release_onset,184,180,2.452230623706679,0.8928571428571429
16001,gt,joint_dynamics,approach_onset,40,36,2.42037195064085,0.9404761904761905
16001,gt,joint_dynamics,contact_onset,66,61,1.4399684949055183,0.5952380952380952
16001,gt,joint_dynamics,object_motion_onset,78,74,0.7019578115353764,0.27976190476190477
16001,gt,joint_dynamics,placement_contact,154,157,0.6764311491463423,0.2619047619047619
