episode,chunk_index,anchor,stage,benefit_5_to_16,s5_joint_step_mean,s5_joint_accel_mean,s5_joint_jerk_mean,s5_gripper_step_max
16001,6,167,release,-0.0067015587741412475,0.006532410353313623,0.006723588767105296,0.012213280073196485,0.296875
21370,0,23,pre_close,-0.006785411804180231,0.011522151315626271,0.00641272554404957,0.010826592020983688,0.013671875
21370,1,47,closing,-0.0033051707496704955,0.005612137078222747,0.005587114087406876,0.009771004093203651,0.09765625
21370,2,71,hold,0.0004141078409353946,0.01707983158130458,0.008082481126134727,0.013506311926444298,0.01171875
21370,3,95,hold,-0.008568356661263057,0.019394543501969133,0.0065827194902848265,0.01040457015671287,0.025390625
21370,4,119,hold,0.0006151471508633669,0.01587737796238316,0.006459838702380454,0.010223126211732532,0.0234375
21370,5,143,release,0.0035007635112157334,0.007862067731680002,0.005975206271845348,0.009669423036445845,0.302734375
21370,6,167,free_open,4.184097300293822e-05,0.005629533678067182,0.006030198876964503,0.010369884821029596,0.048828125
22235,0,23,free_open,0.0008976214879199557,0.018959256337393853,0.00721008158525483,0.012800320939840836,0.0078125
22235,1,47,free_open,0.002807979402794647,0.01505343131731005,0.006838584936728552,0.011698079450196453,0.015625
22235,2,71,pre_close,-0.0014380161957197046,0.006891662223886936,0.0055790733731619115,0.01017073607533669,0.013671875
22235,3,95,closing,-7.181042691381187e-05,0.0073375055328754645,0.007841346352730984,0.01240389411353891,0.12890625
22235,4,119,hold,0.00025620141401866067,0.004506948021834336,0.0059445641597066475,0.010281500709904523,0.03173828125
22235,5,143,hold,-0.007564894504803559,0.016965471236700332,0.007852828644099209,0.012595673445011484,0.03759765625
22235,6,167,release,-0.006330991687432704,0.008406006217462812,0.006205195145810122,0.010446377503996115,0.013671875
28198,0,23,free_open,0.001377827424156106,0.008562263311953295,0.006730646375368623,0.011485538399415957,0.0078125
