feature,stage,count,median,q25,q75,fine_spearman,fine_spearman_p
joint_abs_step_d4,free_open,2303,0.0028964611116246985,0.0016337819984224271,0.00486819987331242,-0.1354826665655945,6.629198220211162e-45
joint_abs_step_d4,pre_close,1385,0.00204912217389164,0.0011084557396328853,0.0036834288855925657,-0.1354826665655945,6.629198220211162e-45
joint_abs_step_d4,closing,1592,0.0014663421939012885,0.0008336140614680367,0.002727992908501616,-0.1354826665655945,6.629198220211162e-45
joint_abs_step_d4,hold,4316,0.0024352525541926533,0.001314193263098074,0.004542235680414703,-0.1354826665655945,6.629198220211162e-45
joint_abs_step_d4,release,1078,0.0020793366853124025,0.0011964249996110538,0.003902455415854386,-0.1354826665655945,6.629198220211162e-45
joint_abs_step_d5,free_open,2303,0.005384366412453036,0.003044390140538945,0.008668157623646797,-0.15187531733024295,4.21876747852958e-56
joint_abs_step_d5,pre_close,1385,0.0037603517775019004,0.0020885541637269502,0.006052338553125637,-0.15187531733024295,4.21876747852958e-56
joint_abs_step_d5,closing,1592,0.002989267186758055,0.0016967367490848724,0.004732484348770902,-0.15187531733024295,4.21876747852958e-56
joint_abs_step_d5,hold,4316,0.004346715099308134,0.00236433780368476,0.007529449354589955,-0.15187531733024295,4.21876747852958e-56
joint_abs_step_d5,release,1078,0.00390874318211497,0.002165036616730856,0.00673342670414798,-0.15187531733024295,4.21876747852958e-56
joint_abs_step_d6,free_open,2303,0.0029778634677330626,0.0016371066044178493,0.005145392424945279,-0.161918037503956,1.2887785624031044e-63
joint_abs_step_d6,pre_close,1385,0.002004315686882051,0.001091893364166362,0.003513247179161183,-0.161918037503956,1.2887785624031044e-63
joint_abs_step_d6,closing,1592,0.0013890383243278224,0.0008092198982467525,0.002549477491953335,-0.161918037503956,1.2887785624031044e-63
joint_abs_step_d6,hold,4316,0.0023908060488886766,0.0012471472924928454,0.004395737711019741,-0.161918037503956,1.2887785624031044e-63
joint_abs_step_d6,release,1078,0.002106933826957657,0.0011240261773231384,0.0036968775755106056,-0.161918037503956,1.2887785624031044e-63
gripper_start,free_open,2303,0.0,0.0,0.0,0.5256216810759593,0.0
gripper_start,pre_close,1385,0.0,0.0,0.0,0.5256216810759593,0.0
gripper_start,closing,1592,0.0,0.0,0.4114326541405361,0.5256216810759593,0.0
gripper_start,hold,4316,1.0,0.9955506383089392,1.0,0.5256216810759593,0.0
gripper_start,release,1078,0.9966703819585883,0.811482173508788,1.0,0.5256216810759593,0.0
gripper_end,free_open,2303,0.0,0.0,0.0,0.5766876403611063,0.0
gripper_end,pre_close,1385,0.0,0.0,0.3821984259163935,0.5766876403611063,0.0
gripper_end,closing,1592,1.0,0.9577255419655102,1.0,0.5766876403611063,0.0
gripper_end,hold,4316,1.0,0.993365449593866,1.0,0.5766876403611063,0.0
gripper_end,release,1078,0.0,0.0,0.008898934405359623,0.5766876403611063,0.0
gripper_mean,free_open,2303,0.0,0.0,0.0,0.621578009788054,0.0
gripper_mean,pre_close,1385,0.0,0.0,0.06257574554524618,0.621578009788054,0.0
gripper_mean,closing,1592,0.6510475265430385,0.4135852353840672,0.8528617673157384,0.621578009788054,0.0
gripper_mean,hold,4316,0.9996823317335555,0.9845474342038374,1.0,0.621578009788054,0.0
gripper_mean,release,1078,0.44095498307995684,0.19928043776969645,0.6545545435010393,0.621578009788054,0.0
gripper_range,free_open,2303,0.0,0.0,0.0,0.3981352279086459,0.0
gripper_range,pre_close,1385,0.0,0.0,0.37935037701692614,0.3981352279086459,0.0
gripper_range,closing,1592,0.8781619494452696,0.5860545308164381,1.0,0.3981352279086459,0.0
gripper_range,hold,4316,0.0,0.0,0.03340755385960292,0.3981352279086459,0.0
gripper_range,release,1078,0.9640107289251176,0.7709637008585202,1.0,0.3981352279086459,0.0
gripper_tv,free_open,2303,0.0,0.0,0.0,0.39694896226295345,0.0
gripper_tv,pre_close,1385,0.0,0.0,0.4301929484921491,0.39694896226295345,0.0
gripper_tv,closing,1592,0.9226737656673951,0.6498238797262619,1.0,0.39694896226295345,0.0
gripper_tv,hold,4316,0.0,0.0,0.06006674403744716,0.39694896226295345,0.0
gripper_tv,release,1078,0.9838279244271664,0.8023159056247253,1.0,0.39694896226295345,0.0
gripper_step_max,free_open,2303,0.0,0.0,0.0,0.38754294025175495,0.0
gripper_step_max,pre_close,1385,0.0,0.0,0.16506231571180635,0.38754294025175495,0.0
gripper_step_max,closing,1592,0.17400411955011294,0.10136231077724454,0.2536071188321301,0.38754294025175495,0.0
gripper_step_max,hold,4316,0.0,0.0,0.03003337201872358,0.38754294025175495,0.0
gripper_step_max,release,1078,0.2798831686641906,0.17713471872607803,0.4091558754631687,0.38754294025175495,0.0
gripper_endpoint,free_open,2303,0.0,0.0,0.0,0.37540646582015863,0.0
gripper_endpoint,pre_close,1385,0.0,0.0,0.3419169989547443,0.37540646582015863,0.0
gripper_endpoint,closing,1592,0.8542355484108866,0.5475486430809409,1.0,0.37540646582015863,0.0
gripper_endpoint,hold,4316,0.0,0.0,0.0034155447272703754,0.37540646582015863,0.0
gripper_endpoint,release,1078,0.9521662170602927,0.7341730129354004,1.0,0.37540646582015863,0.0
gripper_high_fraction,free_open,2303,0.0,0.0,0.0,0.5979340926035472,0.0
gripper_high_fraction,pre_close,1385,0.0,0.0,0.0,0.5979340926035472,0.0
gripper_high_fraction,closing,1592,0.6666666666666666,0.4166666666666667,0.9166666666666666,0.5979340926035472,0.0
gripper_high_fraction,hold,4316,1.0,1.0,1.0,0.5979340926035472,0.0
gripper_high_fraction,release,1078,0.4166666666666667,0.16666666666666666,0.6666666666666666,0.5979340926035472,0.0
trans_endpoint_direction_change,free_open,2303,0.37391019017263594,0.0,0.9781115902685591,0.21559236754409478,1.8072750009474976e-112
trans_endpoint_direction_change,pre_close,1385,0.26462565347083566,0.0,0.7326093707743628,0.21559236754409478,1.8072750009474976e-112
trans_endpoint_direction_change,closing,1592,1.0975298182121058,0.4441059962312313,1.609326901007138,0.21559236754409478,1.8072750009474976e-112
trans_endpoint_direction_change,hold,4316,0.7768148849380333,0.36430085647860033,1.3030162112226333,0.21559236754409478,1.8072750009474976e-112
trans_endpoint_direction_change,release,1078,1.2143639845352716,0.6351636160179598,1.6696019278808845,0.21559236754409478,1.8072750009474976e-112
trans_gripper_boundary,free_open,2303,0.0,0.0,0.0,0.18158910068729223,8.395836877928951e-80
trans_gripper_boundary,pre_close,1385,0.0,0.0,0.0,0.18158910068729223,8.395836877928951e-80
trans_gripper_boundary,closing,1592,0.0,0.0,0.06689057954354355,0.18158910068729223,8.395836877928951e-80
trans_gripper_boundary,hold,4316,0.0,0.0,0.0,0.18158910068729223,8.395836877928951e-80
trans_gripper_boundary,release,1078,0.0,0.0,0.010952053748934487,0.18158910068729223,8.395836877928951e-80
trans_has_previous,free_open,2303,1.0,0.0,1.0,0.29942654885536335,5.384899646575681e-220
trans_has_previous,pre_close,1385,1.0,0.0,1.0,0.29942654885536335,5.384899646575681e-220
trans_has_previous,closing,1592,1.0,1.0,1.0,0.29942654885536335,5.384899646575681e-220
trans_has_previous,hold,4316,1.0,1.0,1.0,0.29942654885536335,5.384899646575681e-220
trans_has_previous,release,1078,1.0,1.0,1.0,0.29942654885536335,5.384899646575681e-220
trans_joint_boundary,free_open,2303,0.007841797332635469,0.0,0.016312202198665297,0.07123825171955384,1.7257892102728895e-13
trans_joint_boundary,pre_close,1385,0.007463374864639771,0.0,0.013657397296296265,0.07123825171955384,1.7257892102728895e-13
trans_joint_boundary,closing,1592,0.005316319574863703,0.002431965173562046,0.009543441194623869,0.07123825171955384,1.7257892102728895e-13
trans_joint_boundary,hold,4316,0.010358241260943426,0.005431854226727558,0.018286674917641254,0.07123825171955384,1.7257892102728895e-13
trans_joint_boundary,release,1078,0.008237042998728995,0.0041095542928683846,0.014215451582097959,0.07123825171955384,1.7257892102728895e-13
