calls,feature,target,spearman,p_value
16,k16_dit_flow_joint7_rms,k2_prefix_joint_delta_mean,0.5029462387364585,1.0845926739283968e-06
1,k1_dit_flow_action8_mean_abs,k4_pred_motion_h8,0.5028247443555736,1.0921327040580003e-06
16,k16_dit_flow_action8_rms,gt_motion_h8,0.500718841753569,1.2309578053053629e-06
16,k16_dit_flow_all32_rms,k8_prefix_joint_delta_mean,0.49857244102460263,1.3894868983027405e-06
8,k8_dit_flow_delta_gripper_rms,gt_motion_h8,-0.4981269616280247,1.4247183447291308e-06
16,k16_dit_flow_action8_rms,k8_prefix_joint_delta_mean,0.49747899159663866,1.4774717831174285e-06
4,k4_dit_flow_delta_joint7_rms,k2_prefix_joint_delta_mean,0.4967095271843678,1.5425100590477655e-06
4,k4_dit_flow_delta_gripper_rms,k2_pred_motion_h8,-0.49602105902602006,1.6029828785142575e-06
2,k2_dit_flow_joint7_mean_abs,k8_pred_motion_h8,0.49162701225068345,2.0448772937308554e-06
2,k2_dit_flow_all32_max_abs,k4_pred_motion_h8,0.4887128735840776,2.3987649826417562e-06
2,k2_dit_flow_delta_joint7_rms,k2_pred_motion_h8,0.48583578009517064,2.8041694958759297e-06
8,k8_dit_flow_action8_rms,k8_prefix_joint_delta_mean,0.48541054976207354,2.8692959860841805e-06
2,k2_dit_flow_all32_mean_abs,fine,-0.4846460286452695,2.9899833631339338e-06
16,k16_dit_flow_all32_mean_abs,k2_prefix_joint_delta_mean,0.48437784752455204,3.0334390411211233e-06
8,k8_dit_flow_all32_rms,gt_motion_h8,0.48338564341399204,3.199438613921618e-06
2,k2_dit_flow_action8_mean_abs,fine,-0.4824126368081945,3.370500903663015e-06
8,k8_dit_flow_gripper_max_abs,fine,-0.48155549045825186,3.528289428339752e-06
8,k8_dit_flow_delta_joint7_rms,k4_pred_motion_h8,0.47982180824136883,3.868918648026444e-06
1,k1_dit_flow_action8_mean_abs,fine,-0.476829157215507,4.530736673115949e-06
4,k4_dit_flow_all32_mean_abs,k2_prefix_joint_delta_mean,0.4756302521008403,4.824609088641438e-06
16,k16_dit_flow_all32_mean_abs,k8_prefix_joint_delta_mean,0.47247139819783335,5.687000593535302e-06
4,k4_dit_flow_action8_mean_abs,k8_pred_motion_h8,0.4718841753568898,5.862492294492048e-06
